"MovieID" "ratings_per_movie" "ave_ratings" "Title" "Genres" "Year" "Genre"
2019 628 4.561 "Seven Samurai (The Magnificent Seven) (Shichinin no samurai) (1954)" "Action|Drama" 1954 "Action"
858 2223 4.525 "Godfather, The (1972)" "Action|Crime|Drama" 1972 "Action"
1198 2514 4.478 "Raiders of the Lost Ark (1981)" "Action|Adventure" 1981 "Action"
260 2991 4.454 "Star Wars: Episode IV - A New Hope (1977)" "Action|Adventure|Fantasy|Sci-Fi" 1977 "Action"
1221 1692 4.358 "Godfather: Part II, The (1974)" "Action|Crime|Drama" 1974 "Action"
2028 2653 4.337 "Saving Private Ryan (1998)" "Action|Drama|War" 1998 "Action"
2571 2590 4.316 "Matrix, The (1999)" "Action|Sci-Fi|Thriller" 1999 "Action"
1197 2318 4.304 "Princess Bride, The (1987)" "Action|Adventure|Comedy|Romance" 1987 "Action"
1233 1001 4.303 "Boat, The (Das Boot) (1981)" "Action|Drama|War" 1981 "Action"
1196 2990 4.293 "Star Wars: Episode V - The Empire Strikes Back (1980)" "Action|Adventure|Drama|Sci-Fi|War" 1980 "Action"
1198 2514 4.478 "Raiders of the Lost Ark (1981)" "Action|Adventure" 1981 "Adventure"
260 2991 4.454 "Star Wars: Episode IV - A New Hope (1977)" "Action|Adventure|Fantasy|Sci-Fi" 1977 "Adventure"
1204 831 4.402 "Lawrence of Arabia (1962)" "Adventure|War" 1962 "Adventure"
1262 696 4.376 "Great Escape, The (1963)" "Adventure|War" 1963 "Adventure"
1197 2318 4.304 "Princess Bride, The (1987)" "Action|Adventure|Comedy|Romance" 1987 "Adventure"
1196 2990 4.293 "Star Wars: Episode V - The Empire Strikes Back (1980)" "Action|Adventure|Drama|Sci-Fi|War" 1980 "Adventure"
1254 453 4.289 "Treasure of the Sierra Madre, The (1948)" "Adventure" 1948 "Adventure"
969 1057 4.252 "African Queen, The (1951)" "Action|Adventure|Romance|War" 1951 "Adventure"
919 1718 4.248 "Wizard of Oz, The (1939)" "Adventure|Children's|Drama|Musical" 1939 "Adventure"
3000 345 4.148 "Princess Mononoke, The (Mononoke Hime) (1997)" "Action|Adventure|Animation" 1997 "Adventure"
745 657 4.521 "Close Shave, A (1995)" "Animation|Comedy|Thriller" 1995 "Animation"
