"MovieID","Title","Genres","Year","genre"
6,"Heat (1995)","Action|Crime|Thriller",1995,"Action"
9,"Sudden Death (1995)","Action",1995,"Action"
10,"GoldenEye (1995)","Action|Adventure|Thriller",1995,"Action"
15,"Cutthroat Island (1995)","Action|Adventure|Romance",1995,"Action"
20,"Money Train (1995)","Action",1995,"Action"
21,"Get Shorty (1995)","Action|Comedy|Drama",1995,"Action"
42,"Dead Presidents (1995)","Action|Crime|Drama",1995,"Action"
44,"Mortal Kombat (1995)","Action|Adventure",1995,"Action"
51,"Guardian Angel (1994)","Action|Drama|Thriller",1994,"Action"
70,"From Dusk Till Dawn (1996)","Action|Comedy|Crime|Horror|Thriller",1996,"Action"
71,"Fair Game (1995)","Action",1995,"Action"
89,"Nick of Time (1995)","Action|Thriller",1995,"Action"
95,"Broken Arrow (1996)","Action|Thriller",1996,"Action"
98,"Shopping (1994)","Action|Thriller",1994,"Action"
110,"Braveheart (1995)","Action|Drama|War",1995,"Action"
112,"Rumble in the Bronx (1995)","Action|Adventure|Crime",1995,"Action"
139,"Target (1995)","Action|Drama",1995,"Action"
145,"Bad Boys (1995)","Action",1995,"Action"
153,"Batman Forever (1995)","Action|Adventure|Comedy|Crime",1995,"Action"
160,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi",1995,"Action"
2,"Jumanji (1995)","Adventure|Children's|Fantasy",1995,"Adventure"
8,"Tom and Huck (1995)","Adventure|Children's",1995,"Adventure"
10,"GoldenEye (1995)","Action|Adventure|Thriller",1995,"Adventure"
15,"Cutthroat Island (1995)","Action|Adventure|Romance",1995,"Adventure"
29,"City of Lost Children, The (1995)","Adventure|Sci-Fi",1995,"Adventure"
33,"Wings of Courage (1995)","Adventure|Romance",1995,"Adventure"
44,"Mortal Kombat (1995)","Action|Adventure",1995,"Adventure"
56,"Kids of the Round Table (1995)","Adventure|Children's|Fantasy",1995,"Adventure"
60,"Indian in the Cupboard, The (1995)","Adventure|Children's|Fantasy",1995,"Adventure"
86,"White Squall (1996)","Adventure|Drama",1996,"Adventure"
107,"Muppet Treasure Island (1996)","Adventure|Children's|Comedy|Musical",1996,"Adventure"
112,"Rumble in the Bronx (1995)","Action|Adventure|Crime",1995,"Adventure"
126,"NeverEnding Story III, The (1994)","Adventure|Children's|Fantasy",1994,"Adventure"
146,"Amazing Panda Adventure, The (1995)","Adventure|Children's",1995,"Adventure"
153,"Batman Forever (1995)","Action|Adventure|Comedy|Crime",1995,"Adventure"
158,"Casper (1995)","Adventure|Children's",1995,"Adventure"
160,"Congo (1995)","Action|Adventure|Mystery|Sci-Fi",1995,"Adventure"
168,"First Knight (1995)","Action|Adventure|Drama|Romance",1995,"Adventure"
169,"Free Willy 2: The Adventure Home (1995)","Adventure|Children's|Drama",1995,"Adventure"
173,"Judge Dredd (1995)","Action|Adventure|Sci-Fi",1995,"Adventure"
1,"Toy Story (1995)","Animation|Children's|Comedy",1995,"Animation"
